waypoint_id,latitude,longitude,population_density,population_risk_level,recommended_altitude_ft,raw_density_risk,raw_altitude_risk,raw_combined_risk,risk_score_normalized,casualty_exposure_per_1000,people_in_impact_zone,impact_zone_radius_m,death_probability,should_curve_path,curve_decision_reason,leg_length_km,cumulative_distance_km,land_use_category,within_sandbox_zone
0,22.261667,114.252500,-99999,LOW,100,-999.99,1.00,-999.99,-9.9999,-1459302.95,-29186.06,30.5,5%,No,Curving disabled,5.31,0.00,-1,No
1,22.309167,114.257500,1238,HIGH,500,12.38,11.18,138.44,1.0000,4517478.04,9034.96,152.4,50%,No,Curving disabled,4.59,5.31,-1,No
2,22.325833,114.216666,977,HIGH,500,9.77,11.18,109.27,1.0000,3565738.95,7131.48,152.4,50%,No,Curving disabled,2.68,9.90,-1,No
3,22.339167,114.195000,-99999,LOW,100,-999.99,1.00,-999.99,-9.9999,-1459302.95,-29186.06,30.5,5%,No,Curving disabled,4.73,12.57,-1,No
4,22.376667,114.173333,-99999,LOW,100,-999.99,1.00,-999.99,-9.9999,-1459302.95,-29186.06,30.5,5%,No,Curving disabled,2.41,17.30,-1,No
5,22.378333,114.196666,159,MEDIUM,250,1.59,3.95,6.29,0.0629,58057.73,290.29,76.2,20%,No,Curving disabled,1.91,19.71,-1,No
6,22.380833,114.215000,221,HIGH,500,2.21,11.18,24.73,0.2473,806814.26,1613.63,152.4,50%,No,Curving disabled,4.59,21.61,-1,No
7,22.420833,114.225833,709,HIGH,500,7.10,11.18,79.34,0.7934,2588986.21,5177.97,152.4,50%,No,Curving disabled,6.43,26.20,-1,No
8,22.441667,114.167500,52,MEDIUM,250,0.52,3.95,2.06,0.0206,18996.47,94.98,76.2,20%,No,Curving disabled,5.62,32.63,-1,No
9,22.486667,114.142500,1024,HIGH,500,10.24,11.18,114.52,1.0000,3736986.76,7473.97,152.4,50%,No,Curving disabled,2.14,38.25,-1,No
10,22.500000,114.127500,279,HIGH,500,2.79,11.18,31.25,0.3125,1019633.33,2039.27,152.4,50%,No,Curving disabled,4.21,40.39,-1,No
11,22.482913,114.090968,-99999,LOW,100,-999.99,1.00,-999.99,-9.9999,-1459302.95,-29186.06,30.5,5%,No,Curving disabled,7.69,44.60,-1,No
12,22.451667,114.024166,662,HIGH,500,6.62,11.18,74.07,0.7407,2416906.72,4833.81,152.4,50%,No,Curving disabled,3.27,52.29,-1,No
13,22.470833,114.000000,754,HIGH,500,7.55,11.18,84.39,0.8439,2753848.83,5507.70,152.4,50%,No,Curving disabled,1.90,55.56,-1,No
